time,INTERNALENERGY,KINETICENERGY,X-MOMENTUM,Y-MOMENTUM,Z-MOMENTUM,MASS,TIMESTEP,ROTATIONENERGY,EXTERNALWORK,SPRINGENERGY,CONTACTENERGY,HOURGLASSENERGY,ELASTICCONTACTENERGY,FRICTIONALCONTACTENERGY,DAMPINGCONTACTENERGY,PLASTICWORK,ADDEDMASS,PERCENTAGEADDEDMASS,INLETMASS,OUTLETMASS,INLETENERGY,OUTLETENERGY,TH_Measuring_Nodes1000002var23,TH_Measuring_Nodes1000002var24,TH_Measuring_Nodes1000002var25,TH_Measuring_Nodes1000002var26,TH_Measuring_Nodes1000002var27,TH_Measuring_Nodes1000002var28,THRBODY1Fixed_End_RBODYvar29,THRBODY1Fixed_End_RBODYvar30,THRBODY1Fixed_End_RBODYvar31,THRBODY1Fixed_End_RBODYvar32,THRBODY1Fixed_End_RBODYvar33,THRBODY1Fixed_End_RBODYvar34,THRBODY1Fixed_End_RBODYvar35,THRBODY1Fixed_End_RBODYvar36,THRBODY1Fixed_End_RBODYvar37,THRBODY2Moving_End_RBODYvar38,THRBODY2Moving_End_RBODYvar39,THRBODY2Moving_End_RBODYvar40,THRBODY2Moving_End_RBODYvar41,THRBODY2Moving_End_RBODYvar42,THRBODY2Moving_End_RBODYvar43,THRBODY2Moving_End_RBODYvar44,THRBODY2Moving_End_RBODYvar45,THRBODY2Moving_End_RBODYvar46
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.866953e-05,1.791237e-07,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.355253e-20,2.309977e-14,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.003093e-05,7.398152e+00,1.313313e+01,2.352038e-02,-1.606918e-06,5.111914e-20,5.866953e-05,1.791237e-07,1.522739e-32,2.052748e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.355253e-20,2.309977e-14,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.003093e-02,0.000000e+00,0.000000e+00,1.000000e+03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.766054e-02,1.518444e-06,-5.113565e-20,-1.422341e-19,-4.907692e-19,1.034224e-06,0.000000e+00,0.000000e+00,0.000000e+00
2.006185e-05,1.346138e+01,1.877694e+01,3.523493e-02,-8.174632e-07,-5.990127e-21,5.866953e-05,1.791237e-07,4.338350e-32,3.224203e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.355253e-20,2.309977e-14,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.006185e-02,0.000000e+00,0.000000e+00,1.000000e+03,0.000000e+00,0.000000e+00,6.967544e-18,3.974215e-20,-9.891256e-36,-1.102169e-35,1.088038e-34,5.953759e-19,0.000000e+00,0.000000e+00,0.000000e+00,-2.936061e-02,8.063638e-07,4.347685e-21,-1.613709e-19,2.641092e-19,2.488001e-05,0.000000e+00,0.000000e+00,0.000000e+00
3.009296e-05,1.988826e+01,2.420944e+01,4.707669e-02,1.225418e-07,-3.389112e-20,5.866953e-05,1.791438e-07,8.177299e-32,4.410688e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.355253e-20,2.309977e-14,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.009296e-02,0.000000e+00,0.000000e+00,1.000000e+03,0.000000e+00,0.000000e+00,2.642714e-05,1.288498e-07,-8.739125e-24,-1.258426e-22,1.679434e-24,3.082448e-06,0.000000e+00,0.000000e+00,0.000000e+00,-4.120656e-02,-2.745224e-07,3.176588e-20,1.144726e-18,8.701369e-19,7.060917e-05,0.000000e+00,0.000000e+00,0.000000e+00
4.012548e-05,3.727753e+01,1.899340e+01,3.422440e-02,-5.766602e-05,5.497125e-20,5.866953e-05,1.791584e-07,1.793393e-31,5.628273e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.355253e-20,2.309977e-14,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4.012549e-02,0.000000e+00,0.000000e+00,1.000000e+03,0.000000e+00,0.000000e+00,2.533407e-02,5.553748e-05,-2.785880e-21,-1.376288e-19,1.919586e-19,7.280789e-04,0.000000e+00,0.000000e+00,0.000000e+00,-5.340783e-02,1.928908e-06,-6.054839e-20,1.744919e-18,-1.982772e-19,7.840410e-05,0.000000e+00,0.000000e+00,0.000000e+00
5.015833e-05,5.568937e+01,1.307627e+01,2.456070e-02,-1.782712e-05,2.766420e-19,5.866953e-05,1.791579e-07,2.918308e-31,6.878186e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.355253e-20,2.309977e-14,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.015833e-02,0.000000e+00,0.000000e+00,1.000000e+03,0.000000e+00,0.000000e+00,4.742998e-02,1.909096e-05,-2.556216e-19,1.338549e-18,2.353800e-18,5.720340e-06,0.000000e+00,0.000000e+00,0.000000e+00,-6.590943e-02,-9.354339e-07,-3.090378e-20,9.954368e-19,7.955426e-20,1.211693e-04,0.000000e+00,0.000000e+00,0.000000e+00
6.001214e-05,7.397209e+01,7.550014e+00,1.316510e-02,-1.896574e-05,3.328988e-19,5.866953e-05,1.791607e-07,3.659009e-31,8.153980e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.355253e-20,2.309977e-14,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,6.001214e-02,0.000000e+00,0.000000e+00,1.000000e+03,0.000000e+00,0.000000e+00,7.156645e-02,1.877167e-05,3.748286e-20,-4.475143e-19,1.128030e-19,-4.391349e-04,0.000000e+00,0.000000e+00,0.000000e+00,-7.868320e-02,1.184394e-07,-3.805038e-19,5.170058e-19,-2.801043e-18,1.323294e-04,0.000000e+00,0.000000e+00,0.000000e+00
7.004516e-05,1.034178e+02,6.528417e+00,1.721445e-02,-2.216864e-05,5.350985e-19,5.866953e-05,1.791608e-07,7.740961e-31,1.099661e+02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.355253e-20,2.309977e-14,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,7.004516e-02,0.000000e+00,0.000000e+00,1.000000e+03,0.000000e+00,0.000000e+00,9.598359e-02,1.934843e-05,-1.841143e-19,-1.248144e-18,2.740327e-18,-7.988769e-04,0.000000e+00,0.000000e+00,0.000000e+00,-1.074301e-01,2.993847e-06,-3.451831e-19,-2.218338e-19,-2.123748e-18,1.291000e-04,0.000000e+00,0.000000e+00,0.000000e+00
8.007818e-05,1.334265e+02,1.718250e+01,3.324751e-02,-1.585902e-05,1.032100e-18,5.866953e-05,1.791617e-07,9.171930e-31,1.506325e+02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.355253e-20,2.309977e-14,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.007818e-02,0.000000e+00,0.000000e+00,1.000000e+03,0.000000e+00,0.000000e+00,1.205987e-01,1.503592e-05,-4.343676e-19,-3.718110e-19,4.479286e-18,-1.174888e-03,0.000000e+00,0.000000e+00,0.000000e+00,-1.479123e-01,5.406328e-07,-6.048431e-19,-1.327166e-18,-4.927347e-18,1.874449e-04,0.000000e+00,0.000000e+00,0.000000e+00
9.011141e-05,1.640833e+02,2.373992e+01,4.515744e-02,-3.353833e-05,-1.161466e-19,5.866953e-05,1.791718e-07,1.296297e-30,1.878486e+02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.355253e-20,2.309977e-14,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,9.011141e-02,0.000000e+00,0.000000e+00,1.000000e+03,0.000000e+00,0.000000e+00,1.459207e-01,1.530438e-05,2.105411e-19,3.742985e-19,-4.027627e-18,-1.642961e-03,0.000000e+00,0.000000e+00,0.000000e+00,-1.852000e-01,1.840542e-05,-7.462741e-20,-1.002489e-18,6.149976e-19,1.799312e-04,0.000000e+00,0.000000e+00,0.000000e+00
